,stockpx,iv30,iv60,diff,"diff, %",iv90,m1atmiv,m1dtex,m2atmiv,m2dtex,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,10dclsHV,20dclsHV,60dclsHV,120dclsHV,252dclsHV,10dORHV,20dORHV,60dORHV,120dORHV,252dORHV
PENN,26.14,59.62,52.91,6.71,11%,50.17,48.62,12,56,40,49.2,103,45.68,194,-0.58987,0.1206,1.89961,0.1107,36.1,37.58,47.9,42.31,46.25,41.72,39.2,47.17,44.44,49.98
OSTK,30.72,72.34,65.68,6.66,9%,64.78,66.7,12,67.11,40,64.63,68,65.12,159,-0.69773,0.1127,-0.02825,0.0851,118.94,112.12,81.75,70.21,67.08,108.55,102.16,76.38,70.53,71.47
STEM,6.43,91.82,85.17,6.65,7%,81.75,77.45,12,89.34,40,80.54,103,80.93,159,1.25553,0.0749,1.70896,0.0893,48.94,75.98,77.23,76.34,82.23,83.64,86.66,85.91,86.22,89.8
SHOP,63.15,59.11,52.56,6.55,11%,50.49,43.51,12,55.58,40,51.69,68,49.92,103,0.15073,0.0727,1.76191,0.073,26.18,32.65,63.61,63.6,71.01,31.58,40.11,55.23,58.87,69.33
PTGX,23.01,67.31,60.86,6.45,10%,58.72,80.27,12,62.71,40,57.97,103,58.35,194,4.04427,0.0029,1.53774,0.0354,96.92,73.76,63.77,98.32,82.61,165.05,121.91,87.2,92.89,82.91
MJ,3.27,76.34,69.95,6.39,8%,65.62,83.8,12,73.68,40,64.1,103,65.91,194,-0.36703,0.0003,-2.05246,0.0812,50.11,39.64,39.67,34.65,50.64,52.46,42.85,42.43,38.91,52.65
SQ,71.1,58.15,51.78,6.37,11%,50.58,46.82,12,55.26,40,50.92,68,49.77,159,0.44923,0.0464,2.07114,0.0711,48.92,44.34,38.84,51.83,61.5,54.32,47.55,44.75,53.63,62.83
TSLL,18.1,82.17,75.86,6.31,8%,74.82,98.72,12,79.15,40,74.88,68,74.66,159,0.26426,0.075,0.66059,0.0692,61.94,77.29,71.6,83.87,93.33,59,75.52,72.51,84.52,94.59
RNG,35.12,64.85,58.55,6.3,10%,54.99,46.81,12,63.87,40,57.39,68,53.87,103,0.95564,0.0794,2.26046,0.0957,33.25,41.71,65.03,71.41,72.12,37.17,44.1,61.16,66.66,69.83
NVAX,9.62,129.58,123.29,6.29,5%,114.06,121.37,12,125.23,40,110.81,103,116.29,131,-1.89926,0.0764,-1.0353,0.0416,143.33,118.02,108.8,100.21,106.36,133.19,110.96,105.29,99.43,112.22
WBD,13.3,56.72,50.47,6.25,11%,48.26,48.77,12,55.13,40,49.41,68,47.72,103,0.74632,0.0697,1.75338,0.0857,32.38,38.53,49.57,49.32,55.92,41.46,43.84,52.61,53.02,59.42
MTCH,44.86,50.85,44.65,6.2,12%,43.49,39.64,12,48.35,40,43.74,68,42.9,159,0.05735,0.0847,2.20133,0.0924,28.66,31.98,44.81,44.99,53.75,31.07,33.27,46.34,47.16,54.02
CRBU,7.69,113.65,107.52,6.13,5%,96.79,104.84,12,116.78,40,93.01,103,89.92,194,-0.5291,0.0211,-1.58042,0.1918,244.1,191.37,126.75,102.7,88.86,193.34,149.32,107.07,93.62,89.79
PYPL,70.62,44.93,38.94,5.99,13%,37.16,31.53,12,42.2,40,38.11,68,36.71,103,-0.27161,0.0956,1.42508,0.1307,30.76,29.75,41.24,36.99,42.49,31.38,32.92,37.32,36.61,41.93
DDOG,104.98,58.16,52.28,5.88,10%,49.8,46.56,12,55.49,40,51.31,68,49.09,103,0.64544,0.0423,2.09254,0.0614,28.57,34.16,53.67,57.52,60.55,43.02,43.23,52.37,56.9,61.99
DPST,59.97,104.31,98.44,5.87,6%,95.57,113.74,12,102,40,97.26,68,91.55,159,2.00284,0.084,2.59116,0.1377,66.25,81.55,128.42,129.15,103.78,83.42,94.74,128.38,136.92,109.34
