,stockpx,iv30,iv60,diff,"diff, %",iv90,m1atmiv,m1dtex,m2atmiv,m2dtex,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,10dclsHV,20dclsHV,60dclsHV,120dclsHV,252dclsHV,10dORHV,20dORHV,60dORHV,120dORHV,252dORHV
BLDP,4.57,73.63,71.6,2.03,3%,68.05,70.74,12,74.66,40,64.15,131,61.45,194,1.33481,0.0008,1.45159,0.0779,53.24,84.03,62.78,61.58,64.23,55.23,82.07,64.84,64.97,67.84
NVST,34.77,31.68,29.65,2.03,6%,29.27,30.17,12,32.22,40,28.89,68,30.15,159,0.86222,0.0823,2.29391,0.2723,14.85,21.92,31.25,30.17,31.22,21.18,27.26,36.07,34.43,35.58
EXK,2.9,39.06,37.04,2.02,5%,43,59.18,12,31.91,40,49.56,131,52.42,194,0,0,0,0,38.15,34.41,43,45.81,57.45,39.87,39,48.27,50.13,59.2
NXPI,210.95,33.23,31.21,2.02,6%,30.69,27.63,12,32.21,40,30.51,103,31.07,194,1.62113,0.0713,2.9494,0.0905,28.46,30.26,32.71,33.07,37.85,31.58,31.37,34.06,34.41,38.91
VMW,151.53,38,35.99,2.01,5%,36.04,43.8,12,35.94,40,36.06,103,40.77,194,0.57485,0.1954,3.28103,0.049,28.96,27.63,24.87,24.16,21.98,35.35,31.16,26.48,25.05,23.13
PHG,21.81,40.02,38.02,2,5%,35.9,40.52,12,39.84,40,35.16,103,33.92,194,0.16015,0,5.66706,0,20.65,19.15,37.68,37.19,43.16,17.5,17.24,25.31,27.81,33.28
DAL,48.66,32.39,30.39,2,6%,30.42,39.6,12,31.01,40,30.13,68,31.1,159,1.27066,0.0893,3.45113,0.1138,36.27,29.1,29.83,30.14,35.33,37.01,31.63,31.97,32.07,36.72
SWN,6.03,42.42,40.43,1.99,5%,40.83,38.42,12,41.48,40,39.92,68,43,159,1.24342,0.0713,1.38351,0.092,26.51,27.91,38.81,42.67,51.41,41.24,40.47,44.42,48.74,56.35
HTZ,19.08,40.22,38.23,1.99,5%,37.47,34.64,12,42.2,40,37.06,68,38.44,159,2.83152,0.0062,3.44347,0.0853,14.97,19.82,30.37,40,43.57,25.81,28.16,34.81,42.83,46.09
EXPI,22.1,60.24,58.25,1.99,3%,56.72,54.83,12,62.16,40,57.11,68,55.79,159,2.62138,0.0032,2.99228,0.0534,63.09,61.51,67.7,64.33,66.88,65.48,66.75,65.11,64.31,67.97
GS,320.88,25.49,23.5,1.99,8%,23.5,32.28,12,24.2,40,23.4,68,23.55,103,3.00852,0.0781,5.11977,0.1121,23.27,22.05,21.68,23.61,26.22,22.26,21.84,22.45,24.87,27.02
VNO,19.15,56.05,54.06,1.99,4%,54.03,57.51,12,55.52,40,53.62,68,54.23,103,2.11343,0.0354,2.92028,0.1216,55.52,65.87,57.54,55.03,46.86,64.95,68.32,63.96,60.39,51.07
WAL,38.19,54.5,52.52,1.98,4%,52.84,63.1,12,52.97,40,52.41,68,53.86,159,6.08812,0.1555,6.89001,0.1849,28.45,40.23,151.81,143.95,103.85,43.12,53.41,161.39,206.88,146.38
CCJ,31.21,38.65,36.69,1.96,5%,36.45,35.09,12,38.06,40,36.36,68,36.67,159,0.56286,0.0709,1.7666,0.078,34.53,32.72,35.69,35.01,44.75,35.73,35.36,40.15,39.26,46.58
ABT,107.5,21.04,19.1,1.94,9%,18.67,26.44,12,20.75,40,18.68,68,18.66,131,3.0696,0.0617,5.32648,0.1206,12.28,13.74,21.44,20.55,23.03,14.84,16.75,19.22,20.39,22.94
TQQQ,40.47,56.11,54.19,1.92,3%,53.84,53.99,12,55.03,40,53.76,68,54.04,159,3.22671,0.0926,4.23121,0.1432,34.83,44.17,47.88,57.63,71.85,37.53,46.62,48.03,58.7,72.77
RIO,64.54,30.14,28.22,1.92,6%,27.48,26.33,12,31.49,40,27.26,68,27.59,103,1.26612,0.0113,2.08581,0.0637,22.8,26.12,28.95,28.51,33.51,19.1,20.02,22.56,25.95,28.77
PAYO,4.99,66.28,64.4,1.88,3%,60.59,62.34,12,67.68,40,56.4,131,56.53,194,2.76356,0.0014,1.14567,0.298,36.69,35.66,45.43,48.19,56.4,38.24,40.85,61.55,57.37,63.36
ZIM,13.38,52.38,50.51,1.87,4%,35.46,49.73,12,56.32,40,30.16,103,42.75,194,1.53898,0.0076,1.41332,0.0042,32.74,33.33,57.16,65.55,61.65,44.34,41.12,56.5,63.85,63.39
BCS,7.82,31.54,29.68,1.86,6%,29.17,27.06,12,33.13,40,28.66,68,30.35,159,5.32748,0.0037,3.04426,0.5784,31.06,28.1,32.61,34.61,35.5,24.17,21.73,25.61,28.01,29.51
IONQ,13.86,107.22,105.36,1.86,2%,101.95,110.06,12,111.47,40,100.75,103,95.56,194,-1.20225,0.0555,-1.03204,0.0668,118.79,99.93,107.44,98.92,93.21,128.24,116.11,113.72,103.92,94.02
BKLN,21.08,7.39,5.54,1.85,25%,5.68,6.76,12,6.28,40,5.31,68,5.86,103,0.00023,0,0.72847,0,3.25,4.2,4.15,5.24,6.46,3.98,3.81,4.07,5.24,6.48
KMI,17.25,19.99,18.15,1.84,9%,18.35,18.67,12,19.38,40,18.05,68,19.06,159,2.72508,0.0009,4.25599,0.0814,15.42,16.74,17.56,18.15,21.81,18.22,18.09,19.52,20.81,24.29
AZN,64.86,23.36,21.55,1.81,8%,20.59,18.3,12,21.53,40,20.26,103,20.77,131,2.21135,0.0561,2.96816,0.109,46.52,36.92,25.21,23.39,23.63,33.82,27.3,20.34,19.24,21.05
KBE,37.14,31.09,29.31,1.78,6%,29.19,33.58,12,30.21,40,29.05,68,29.54,159,3.14748,0.0934,4.56214,0.1129,20.6,24.94,36.21,37.75,31.58,24.96,27.8,36.04,37.85,31.95
AIG,58.75,26.17,24.39,1.78,7%,24.35,21.77,12,24.98,40,24.2,68,24.56,131,3.98287,0.1186,4.98808,0.1608,10.33,17.41,28.17,33.05,30.13,17.9,22.56,27.58,31.61,30.04
BKR,34.03,33.46,31.73,1.73,5%,31.05,36.65,12,32.33,40,30.81,103,31.7,194,1.99293,0.0055,2.63194,0.0826,22.58,25.12,29.81,31.33,38.61,31.69,32.27,32.99,34.45,39.76
EQT,40.56,39.36,37.64,1.72,4%,37.72,35.77,12,38.66,40,37.38,68,38.52,159,1.05463,0.0454,2.50586,0.0763,25.53,23.64,37.12,40.46,48.41,30.39,28.61,38.65,43.69,52.22
PNC,126.49,30.45,28.73,1.72,6%,28.69,38.37,12,29.4,40,28.64,131,29.14,194,3.40424,0.0516,5.60603,0.1033,17.17,19.66,31.97,34.3,32.02,20.84,23.57,33.62,36.4,33.61
BA,218.76,30.15,28.43,1.72,6%,28.04,26.26,12,29.21,40,28.21,68,27.96,103,1.62808,0.0904,3.25086,0.1019,14.76,22.97,24.75,26.15,35.07,21.94,25.04,27.34,29.29,37.55
GLW,35.4,24.15,22.46,1.69,7%,22.81,18.12,12,21.98,40,22.51,68,23.26,131,2.66057,0.0595,4.23955,0.1015,11.87,26.48,24.03,23.89,26.17,15.73,22.51,23.6,24.66,27.13
FCX,39.71,38.78,37.11,1.67,4%,37.26,45.54,12,38.21,40,36.85,68,37.85,131,1.26219,0.0498,2.22672,0.0635,37.86,36.16,36.5,36.36,46.41,34.71,33.08,33.83,36.85,45.1
AXP,174.64,25.8,24.15,1.65,6%,23.68,31.95,12,24.81,40,23.51,103,23.78,194,2.99919,0.0713,4.70205,0.1248,17.94,16.58,24.33,30.22,29.8,19.1,19.17,25.53,28.44,30.06
PCG,17.68,24.32,22.74,1.58,6%,22.84,22.64,12,23.29,40,22.61,68,22.95,103,3.07731,0.1395,3.67434,0.145,20.69,23.1,17.85,19.32,25.75,25.37,24.78,22.78,24.4,30.31
SAND,5.28,42.9,41.32,1.58,4%,41.46,51.03,12,40.01,40,41.7,68,40.91,159,-1.8585,0.0005,-0.48529,0.1394,41.34,52,39.61,40.72,45.67,38.83,47.47,39.5,41.39,46.03
TNA,36.56,56.05,54.5,1.55,3%,53.48,58.9,12,55.03,40,53.13,103,52.47,194,2.84046,0.0978,4.33495,0.1207,49.34,48.04,57.35,61.28,68.55,53.48,51.62,57.41,64.36,70.7
SPGI,396.42,21.83,20.28,1.55,7%,20.13,18.11,12,20.62,40,19.95,131,19.7,194,2.8377,0.0632,3.69545,0.081,14.35,14.83,19.32,21.12,25.75,17.03,17.51,20.52,23.04,26.78
JETS,22.18,27.43,25.89,1.54,6%,25.33,33.18,12,27.16,40,25.88,68,25.07,103,3.77078,0.0787,4.35999,0.0916,25.63,21.65,22.04,24.02,28.43,27.48,23.02,23.42,25.02,28.9
NTR,60.25,36.63,35.1,1.53,4%,34.79,32.56,12,36.46,40,34.92,68,34.5,159,1.74678,0.0609,3.34912,0.0958,25.51,29.01,32.52,33.7,40.38,28.88,30.08,35.49,39.16,42.39
SBLK,17.21,43.06,41.54,1.52,4%,43.96,31.67,12,42.85,40,46.62,131,47.27,194,4.12796,0.0565,2.40233,0.2317,16.36,19.6,33.09,37.78,44.55,25.49,24.84,35.17,38.49,45.04
ADM,80.47,23.5,21.99,1.51,6%,21.54,18.54,12,23.98,40,21.72,68,21.12,159,3.62291,0.1128,4.6021,0.1302,12.39,17.63,23.95,22.75,26.01,21.72,23.16,24.88,25.17,28.26
DHI,119.41,30.4,28.89,1.51,5%,28.69,39.14,12,29.45,40,28.47,131,28.26,194,2.45908,0.0672,3.44052,0.0976,30.93,25.3,25.46,26.62,34.73,28.65,26.03,25.68,27.98,35.16
SMCI,270.95,77.54,76.04,1.5,2%,73.98,66.31,12,80.31,40,71.71,131,69.12,159,-0.02326,0.0305,0.58187,0.0663,37.32,52.32,90.86,79.89,70.79,66.64,71.71,82.24,76.03,69.22
DLR,116.42,32.96,31.47,1.49,5%,30.7,28.25,12,31.53,40,31.45,68,30.35,103,2.56622,0.1029,4.24135,0.1112,16.29,17.94,36.5,35.56,35.69,23.59,26.69,38.36,37.92,36.99
SPHY,22.7,19.58,18.09,1.49,8%,16.23,19.26,12,19.69,40,15.57,103,13.86,194,0,0,0,0,5.77,4.98,5.65,7.27,9.87,6.05,5.37,5.99,7.62,9.84
NOV,17.95,43.34,41.88,1.46,3%,41.24,40.87,12,42.43,40,40.53,131,40.33,194,1.64085,0.0884,2.54402,0.0651,45.16,39.21,43.18,42.25,46.47,51.11,42.92,43.29,44.3,46.82
PFE,36.02,23.18,21.73,1.45,6%,21.81,19.55,12,23.1,40,21.72,68,22.04,159,1.41424,0.0627,2.89798,0.1139,16.23,22.71,22.43,19.22,22.58,17.38,21.68,23.74,21.57,24.2
UPS,185.24,27.86,26.41,1.45,5%,24.21,19.29,12,29.05,40,23.44,103,24.93,131,2.71907,0.0416,4.31073,0.0966,20.18,21.77,29.29,25.45,27.35,22.94,22.42,25.17,27.38,27.93
CLVT,9.73,44.37,42.92,1.45,3%,40.65,36.98,12,46.99,40,41.73,68,40.14,103,-0.00887,0,-1.63892,0,31.34,38.79,42.61,41.23,45.25,37.81,40.16,45.81,42.81,49.46
IOVA,7.93,84.07,82.62,1.45,2%,80.58,85.61,12,83.53,40,82.36,68,79.74,103,0.00053,0.0003,0.87101,0.0199,125.61,100.28,91.51,80.88,75.78,100.25,85.45,86.19,79.05,78.23
HBI,4.8,55.79,54.37,1.42,3%,53.71,52.36,12,58.51,40,53.48,103,53.58,194,3.35404,0.0011,2.39286,0.1454,72.11,58.16,55.51,63.36,56.08,67,56.43,56.12,62.29,56.68
JPM,147.42,21.17,19.76,1.41,7%,20.15,26.71,12,20.11,40,19.59,68,20.41,103,2.44501,0.1065,5.19629,0.1457,19.79,17.64,23.95,25.24,26.14,19.28,18.88,22.05,24.72,26.73
V,240.55,19.98,18.57,1.41,7%,18.74,15.71,12,19.22,40,18.46,68,19.41,159,3.55824,0.0994,4.95354,0.1478,15.17,15.78,17.17,16.76,21.64,17.85,18.29,18.97,28.24,27.92
CSX,33.77,22.07,20.68,1.39,6%,20.63,27.91,12,21.32,40,20.57,131,20.91,194,3.45739,0.0556,4.64369,0.1455,13.49,14.18,17.88,21.66,24.01,15.92,17.67,21.28,24.92,26.39
MRK,108.7,21.53,20.14,1.39,6%,19.56,19.56,12,20.41,40,20.04,68,19.34,103,2.7743,0.0933,4.58868,0.1417,19.44,18.4,17.07,20.03,19.91,20.15,20.23,20.74,25.18,23.67
TSN,51.67,31.15,29.77,1.38,4%,27.39,22.23,12,33.37,40,26.55,103,26.01,194,2.05466,0.0791,3.57872,0.1144,16.6,16.87,40.23,32.3,27.88,20.68,20.16,34.33,31.48,28.34
MP,25.31,51.78,50.42,1.36,3%,49.65,48.96,12,52.78,40,49.73,68,49.47,159,0.60239,0.1055,1.3859,0.0857,29.36,36.46,43.11,48.76,54.79,45.22,44.33,47.85,53.74,57.23
KRE,42.36,35.76,34.4,1.36,4%,34.2,38.58,12,35.74,40,34.04,68,33.89,103,2.35154,0.0735,4.69209,0.1261,23.16,28.65,43.15,43.74,35.05,28.54,32.27,42.86,44.69,35.98
IGSB,49.97,5.02,3.67,1.35,27%,3.78,8.73,12,3.7,40,3.66,68,4.07,159,0.00489,0,4.24602,0,2.84,2.74,3.3,3.6,4.06,2.7,2.85,2.99,3.49,3.73
OXY,60.55,30.27,28.93,1.34,4%,28.44,23.74,12,29.48,40,28.71,68,28.31,103,1.02743,0.0839,2.74449,0.093,22,20.62,22.28,29.43,37.5,24.58,22.56,23.87,36.93,41.69
WOLF,64.68,64.88,63.54,1.34,2%,60.24,56.93,12,67.7,40,62.32,68,59.26,103,-0.33045,0.0811,1.32715,0.0532,86.49,76.33,74.03,67.28,71.73,82.44,68.79,70.58,66.05,68.15
RIOT,17.51,110.33,109.08,1.25,1%,107.72,113.78,12,110.17,40,108.75,68,105.27,159,-1.61388,0.0757,-0.75347,0.1539,83.99,84.31,98.68,109.66,103.94,114.7,102.66,105.02,113.96,109.34
NWL,9.87,54.56,53.32,1.24,2%,52.4,53.03,12,55.1,40,52.8,68,51.46,159,2.46681,0.056,3.59083,0.149,66.47,55.63,53.12,46.36,41.44,64.71,54.59,53.79,48.51,43.6
EPD,26.47,14.39,13.21,1.18,8%,13.61,11,12,13.18,40,13.02,68,15.01,159,4.45094,0.0001,3.87035,0.0439,6.8,9.29,10.97,12.23,15.97,9.07,11.46,13.46,16.11,19.49
ARKK,47.05,38.02,36.84,1.18,3%,36.72,39.1,12,37.47,40,36.55,68,37.13,159,1.02996,0.0565,2.49691,0.0914,35.99,32.78,32.04,41.43,48.47,36.66,33.79,34.5,43.43,51.24
CX,6.96,38.41,37.24,1.17,3%,35.61,37.71,12,38.66,40,35.03,103,33.22,194,0.03638,0.0013,1.92261,0.1946,37.05,32.2,31.95,34.81,40.92,34.71,31.64,36.79,39.12,43.48
NDAQ,49.71,22.71,21.55,1.16,5%,21.58,25.66,12,21.66,40,21.52,68,21.7,159,0.04936,0.002,4.30804,0.1749,12.37,44.3,30.93,27.76,27.72,14.99,36.63,26.84,25.87,26.81
TS,31.03,31.46,30.31,1.15,4%,30.22,27.06,12,33.02,40,29.51,68,31.91,159,2.64014,0.0178,2.81573,0.1274,26.19,25.9,30.88,35.01,40.43,27.93,25.71,28.35,32.58,36.29
AAPL,188.08,23.62,22.48,1.14,5%,21.21,19.34,12,22.1,40,22.73,68,20.5,103,2.84468,0.0652,4.97181,0.1025,16.2,14.96,16.96,20.27,28.05,16.04,15.98,17.51,21.94,29.07
PACB,13.55,63.72,62.59,1.13,2%,61.55,58.2,12,65.69,40,61.68,68,61.23,159,0.73102,0.0344,1.64496,0.0593,61.6,55.41,48.11,63.91,89.04,62.02,62.03,61.34,72.53,107.32
XLC,66.01,19,17.88,1.12,6%,17.9,17.1,12,18.55,40,17.73,68,18.3,159,3.61429,0.0711,5.51545,0.168,13.54,14.09,18.5,22.24,25.93,15.57,16.03,17.73,20.96,24.45
DIS,89.49,29.61,28.49,1.12,4%,27.06,22.98,12,30.8,40,27.85,68,26.68,103,0.83011,0.0942,2.04375,0.1042,13.31,15.8,28.31,27.26,33.11,16.56,18.42,25.55,27.54,32.21
ROIV,11.09,73.92,72.82,1.1,1%,71.01,72.58,12,74.39,40,69.01,131,68.42,222,0.00381,0,0.70564,0.0002,69.82,67.73,65.04,62.35,66.94,94.42,82.17,70.55,68.31,74.61
TME,7.53,51.66,50.57,1.09,2%,47.79,48,12,52.96,40,46.82,103,48.08,194,1.48253,0.0032,1.02935,0.0861,32,41.17,52.84,50.38,66.32,32.02,40.18,51.57,51.84,66.18
NOVA,19.77,71.52,70.43,1.09,2%,68.01,68.72,12,72.51,40,67.16,103,65.91,194,2.01865,0.1069,3.05118,0.1331,70.84,61.6,71.65,75.15,79.14,72.89,66.99,76.81,83.86,85.8
CF,72.82,38.99,37.91,1.08,3%,36.64,37.01,12,39.7,40,36.19,103,36.66,131,1.37273,0.0487,2.74658,0.0803,37.35,33.3,33.73,33.69,40.42,40.1,36.14,39.43,38.93,45.37
VLO,115.95,33.33,32.25,1.08,3%,32.11,30.02,12,32.84,40,32,68,32.36,159,1.67279,0.0256,3.15943,0.071,26.2,23.95,29.41,36.69,39.48,28.69,29.87,33.4,44.44,44.73
MRO,24.33,37.58,36.51,1.07,3%,36.29,34.13,12,37.8,40,36.15,68,36.35,103,1.29865,0.0825,2.60572,0.0891,26.16,30.02,33.69,40.07,44.14,33.19,33.53,36.07,43.34,46.06
CG,32.39,32.69,31.62,1.07,3%,31.18,28.77,12,34.08,40,30.9,68,31.87,159,3.17438,0.0009,5.00175,0.0836,20.36,21.95,38.91,36.86,41.27,24.46,24.9,36.87,38.23,41.25
DB,10.43,31.44,30.4,1.04,3%,29.92,34.97,12,32.14,40,29.78,68,29.99,103,3.75492,0.1368,4.49286,0.1987,34.22,28.67,30.29,36.5,38.32,26.36,22.19,24.65,30.33,32.45
SCHW,57.58,33.15,32.11,1.04,3%,32.4,39.89,12,32.03,40,32.14,68,32.51,103,2.07091,0.0392,3.61959,0.0822,26.16,24.98,32.39,48.56,40.28,28.68,27.51,35.5,50.76,42.48
EVGO,4.41,79.93,78.9,1.03,1%,78.95,82.93,12,78.86,40,79.01,131,80.38,194,-0.41559,0.0002,-0.47371,0.0408,49.17,75.43,78.54,85.52,86.67,66.15,84.06,79.74,86.78,88.96
PEP,183.98,15.84,14.82,1.02,6%,15.15,19.72,12,15.34,40,14.7,68,15.37,103,3.12105,0.0892,5.4731,0.1414,13.49,12.38,12.53,13.18,15.63,14.74,13.93,14.12,15.05,17.73
MA,397.8,20,18.98,1.02,5%,18.92,16.48,12,19.53,40,18.83,68,18.96,103,3.72901,0.0839,4.90505,0.1319,14.85,14.4,17.89,17.19,22.25,17.39,17.87,19.71,21.84,25.38
TPX,43.35,36.05,35.03,1.02,3%,34.21,28.77,12,38.64,40,33.97,68,34.76,159,2.91341,0.1349,3.41306,0.1255,34.88,28.78,33.53,34.25,41.13,38.04,32.4,36.47,35.79,41.62
FOXA,33.73,25.98,24.97,1.01,4%,24.04,22.54,12,26.41,40,23.71,103,24.18,159,1.67741,0.1329,2.7965,0.1156,19.51,16.88,21.41,22.85,27.99,23.45,21.11,25.67,26,30.13
EOG,119.6,30.86,29.85,1.01,3%,30.05,26.78,12,30.54,40,29.71,68,30.21,103,2.09638,0.0618,3.51716,0.0835,26.93,29.91,29.03,33.6,37.73,31.2,31.25,30.21,34.08,38.71
LABU,6.01,77.91,76.9,1.01,1%,77.09,79.13,12,76.6,40,77.02,68,77.24,159,2.62008,0.0585,2.3967,0.0899,59.09,61.73,77.17,80.87,97.98,63.47,70.16,82.95,88.9,107.5
KWEB,27.93,39.9,38.9,1,3%,38.51,40.14,12,39.69,40,38.7,68,38.23,131,-0.3623,0.0917,0.62951,0.0749,34.3,36.77,37.86,38.36,48.77,28.04,30.16,32.44,33.08,41.95
NEM,43.31,32.46,31.47,0.99,3%,31.11,39.46,12,31.74,40,31.56,68,30.9,103,0.7905,0.0548,1.06854,0.09,27.11,26.52,29.49,31.89,36.89,26.94,26.62,29.78,38.19,39.13
FHN,12.26,42.24,41.28,0.96,2%,41.79,48.04,12,42.75,40,42.34,131,42.39,159,4.16205,0.1357,5.63203,0.148,15.05,34.95,81.66,69.39,48.63,33.64,41.98,73.41,69,48.41
APA,37.28,43.11,42.16,0.95,2%,41.91,40.26,12,42.95,40,41.83,103,41.87,194,0.85888,0.0596,2.40009,0.0796,35.8,35.44,38.66,42.83,49.95,40.94,38.68,42.94,45.24,51.71
COP,107.44,28.39,27.44,0.95,3%,27.8,25.53,12,27.95,40,27.43,68,28.33,131,2.17523,0.0481,3.65468,0.086,28.06,26.71,25.82,33.29,36.01,30.24,28.43,27.38,33.09,36.81
JNJ,158.63,16.24,15.29,0.95,6%,14.98,20.45,12,15.2,40,15.08,68,14.94,103,3.77456,0.0957,6.00201,0.1681,11.45,11.75,12.29,15.36,15.62,12.45,12.93,14.2,16.87,17.47
VOD,9.31,29.08,28.14,0.94,3%,27.52,26.17,12,28.73,40,27.29,103,31.91,194,1.32692,0.0856,1.87417,0.0538,26.15,25.48,29.78,29.12,29.49,21.78,21.16,24.43,24.81,24.54
MPC,120.01,29.95,29.01,0.94,3%,28.15,27.71,12,30.53,40,27.85,103,28.44,131,2.26899,0.0477,3.29904,0.0736,26.37,22.87,30.41,34.88,34.83,28.61,27.3,32.68,38.09,37.6
FITB,27.06,33.5,32.57,0.93,3%,32.51,37.88,12,33.06,40,32.44,131,33.52,194,4.05005,0.0515,5.44865,0.0984,14.62,25.89,39.02,43.06,38.58,24.46,33.21,41,49.63,42.6
SHEL,60.87,23.41,22.48,0.93,4%,22.28,20.81,12,23.61,40,22.43,68,22.21,103,2.85042,0.0243,3.94806,0.0944,19.99,18.95,20.9,24.39,28.2,17.64,17.59,19.21,25.27,26.11
HIMS,8.64,68.81,67.89,0.92,1%,65.38,65.32,12,70.05,40,62.62,131,58.78,194,1.61596,0.0892,1.20788,0.1079,56.27,46.38,51.88,61.72,63.41,56.54,50.43,55.93,63.16,66.36
UNP,206.79,21.63,20.71,0.92,4%,20.84,19.03,12,20.76,40,20.98,131,20.81,194,3.07999,0.075,4.22514,0.1203,10.81,15.33,17.7,25.19,26.01,16.16,18.63,21.07,28.34,27.43
ET,12.95,20.45,19.54,0.91,4%,19.43,16.05,12,21.45,40,19.32,68,19.48,103,3.96653,0.0074,3.35563,0.1151,8.99,11.74,14.12,18.91,24.85,11.63,13.78,17.89,23.55,28.5
AR,23.79,49.2,48.3,0.9,2%,47.77,46.13,12,49.28,40,48.07,68,47.64,103,0.36931,0.0737,1.61764,0.096,36.93,44.45,47.82,47.48,52.95,46.48,49.42,49.45,49.71,55.82
MAT,21.58,42.99,42.09,0.9,2%,38.76,37.41,12,44.97,40,37.59,103,35.91,194,-3.38427,0.2034,-0.39335,0.1552,18.66,25.31,29.41,33.03,33.96,32.98,29.72,30.56,33.22,37.63
FXI,27.34,27.96,27.09,0.87,3%,26.72,28.25,12,27.58,40,26.96,68,26.37,131,1.03124,0.0768,2.71403,0.1342,26.14,27.28,28.25,27.88,33.46,19.46,20.41,21.49,21.75,26.3
XLY,171.31,19.6,18.73,0.87,4%,18.89,19.84,12,19.07,40,18.72,68,19.31,159,3.56306,0.0985,5.9475,0.148,15,15.95,16.85,20.92,25.25,14.64,16.72,17.7,21.63,25.95
FAS,65.81,44.2,43.34,0.86,2%,43.59,46,12,43.16,40,43.68,103,45.36,194,3.73727,0.1617,5.96153,0.1773,33.85,33.91,45.6,56.42,62.28,37.34,37.57,45.56,56.57,62.89
KVUE,25.08,21.35,20.5,0.85,4%,20.89,24.68,12,20.16,40,21.32,131,22.61,222,0.00805,0.0007,0.76904,0.0632,15.44,15.36,15.36,15.36,15.36,24.14,23.87,23.87,23.87,23.87
DELL,55.74,26.97,26.12,0.85,3%,28.24,26.95,12,26.04,40,28.99,103,29.28,194,1.41009,0.0599,3.1197,0.0751,19.29,18.64,30.7,28.38,34.86,23.72,23.73,31.36,30.82,35.09
AMCR,9.87,25.58,24.75,0.83,3%,24.23,26.63,12,25.2,40,24.05,103,25.09,194,0.32259,0.0116,3.28351,0.054,27.61,22.93,25.32,23.08,24.25,27.98,23.31,24.72,23.18,24.78
DNB,11.98,33.74,32.92,0.82,2%,36.84,45.55,12,29.54,40,38.22,103,38.98,194,-0.1856,0,-2.14024,0,12.17,31.55,37.49,39.27,37.15,22.57,35.97,39.5,39.14,37.62
SPDW,32.36,15.36,14.54,0.82,5%,14.05,16.44,12,14.98,40,13.5,131,15.48,222,0.47255,0.0017,4.73567,0.4314,14.24,16.73,14.1,14.05,18.22,11.02,12.2,11.07,12.29,16.08
DADA,5.8,79.67,78.87,0.8,1%,79.94,84.49,12,77.95,40,80.32,103,80.2,194,2.43855,0.0001,1.18454,0.0157,53.37,64.16,72.63,79.57,99.48,55.43,67.5,77.79,82.4,99.71
ETRN,8.75,39.51,38.72,0.79,2%,37.17,37.99,12,40.05,40,36.63,103,38.94,194,4.0582,0.0019,2.45602,0.0322,27.91,28.95,76.97,64.32,55.68,33.42,32.95,58.9,55.1,52.06
RRC,29.68,41.97,41.18,0.79,2%,41.09,37.62,12,41.15,40,41.08,68,41.1,103,1.23585,0.0652,2.10618,0.083,29.55,39.5,41.25,48.17,52.19,38.74,41.55,42.58,50.84,55.66
TPH,31.17,33.32,32.53,0.79,2%,31.53,33.14,12,33.39,40,31.18,103,28.7,194,0.00463,0,2.46027,0,32.77,27.61,30.81,29.13,36.11,30.14,28.8,30.69,32.16,37.79
PLD,123.22,24.41,23.62,0.79,3%,23.7,26.8,12,23.56,40,23.78,131,23.9,194,3.58656,0.016,4.52394,0.1042,12.66,17.01,22.96,24.32,29.11,22.83,23.46,25.4,28.06,30.91
MGNI,15.09,59.22,58.44,0.78,1%,55.51,47.3,12,63.45,40,56.97,68,52.06,159,2.23017,0.106,2.41407,0.0359,52.25,41.87,76.85,72.26,87.31,53.06,44.77,67.07,68.7,79.87
GPK,24.28,27.17,26.39,0.78,3%,25.96,26.45,12,27.43,40,26.09,68,25.66,159,4.12006,0,4.51507,0,23.46,29.42,24.35,26.32,27.49,29.22,34.11,27.74,28.89,29.6
KEY,9.92,48.21,47.45,0.76,2%,47.68,57.32,12,50.15,40,47.86,68,47.6,103,4.33144,0.0959,4.97458,0.1203,31.86,38.08,58.23,67.55,52.5,38.05,48.69,60.1,70.85,54.94
XLK,172.03,18.93,18.18,0.75,4%,18.32,17.72,12,18.57,40,18.06,68,18.93,159,3.43365,0.1027,5.41183,0.1819,12.79,16.03,18.37,20.07,25.4,13.51,16.35,17.53,20.15,25.18
QUOT,3.79,32.55,31.82,0.73,2%,29.13,28.07,12,34.15,40,26.16,131,19.18,222,0,0,0,0,7.04,59.72,54.71,57.61,66.31,13.08,41.61,51.42,59.55,67.01
SLB,56.05,34.34,33.62,0.72,2%,34.09,37.22,12,33.79,40,34.61,131,33.95,194,0.91211,0.0584,2.83321,0.0834,42.34,36.32,37.12,39.8,42.86,47.24,38.5,37.68,41.72,43.66
ZION,30.42,53.58,52.86,0.72,1%,53.06,54.52,12,55.79,40,52.59,68,53.28,103,3.81138,0.0832,6.25732,0.197,33.52,41.32,78.51,76.33,58.46,47.01,53.35,83.85,94.89,70.48
PAA,14.51,21.03,20.33,0.7,3%,21.06,15.45,12,20.01,40,21.86,131,21.78,194,1.93508,0.0002,3.232,0.062,16.77,16.88,26.06,25.84,27.52,20.12,20.59,26.62,27.64,30.25
AGNC,9.95,25.31,24.61,0.7,3%,24.84,23.98,12,25.08,40,25.13,68,24.16,159,3.82835,0.0215,4.09406,0.0651,28.59,25.25,26.01,26.66,33.67,29.76,26.66,28.9,29.86,36.56
